type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,sea,gradual,20.0,exclude,majority,no,10,100,1e-05,0.0,1.0
synthetic,sea,gradual,20.0,exclude,majority,no,10,300,0.01,0.0,1.0
synthetic,sea,gradual,20.0,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,majority,no,10,300,1e-05,0.0,1.0
synthetic,sea,gradual,20.0,exclude,all,yes,10,10,0.01,0.0,1.0
synthetic,sea,gradual,20.0,exclude,all,yes,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,all,yes,10,10,1e-05,0.0,0.95
synthetic,sea,gradual,20.0,exclude,all,yes,10,100,0.01,0.0,1.0
synthetic,sea,gradual,20.0,exclude,all,yes,10,100,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,all,yes,10,100,1e-05,0.0,0.8571428571428571
synthetic,sea,gradual,20.0,exclude,all,yes,10,300,0.01,0.0,1.0
synthetic,sea,gradual,20.0,exclude,all,yes,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,all,yes,10,300,1e-05,0.0,0.8571428571428571
synthetic,sea,gradual,20.0,exclude,all,no,10,10,0.01,0.0,1.0
synthetic,sea,gradual,20.0,exclude,all,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,all,no,10,10,1e-05,0.0,1.0
synthetic,sea,gradual,20.0,exclude,all,no,10,100,0.01,0.0,1.0
synthetic,sea,gradual,20.0,exclude,all,no,10,100,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,all,no,10,100,1e-05,0.0,1.0
